Time Updated,PK-5,PK-8,Middle School,High School
08-16-2021 04:00 PM,1,0,1,0
08-17-2021 04:00 PM,1,0,1,0
08-17-2021 08:00 PM,5,0,1,0
08-18-2021 06:30 PM,7,1,2,2
08-19-2021 05:30 PM,6,2,2,3
08-20-2021 06:30 PM,23,2,6,8
08-22-2021 06:30 PM,44,2,9,9
08-23-2021 06:30 PM,48,4,14,15
08-24-2021 07:30 PM,54,6,15,18
08-25-2021 06:30 PM,57,8,17,22
08-26-2021 06:30 PM,63,12,19,25
08-27-2021 06:30 PM,71,15,27,31
08-27-2021 08:00 PM,71,16,27,31
08-30-2021 07:00 PM,86,16,32,32
08-31-2021 09:30 PM,95,19,32,34
09-01-2021 09:30 PM,105,19,32,34
09-02-2021 09:00 PM,110,20,33,34
09-03-2021 09:00 PM,115,22,35,38
09-06-2021 07:30 PM,118,24,35,38
09-07-2021 08:30 PM,124,24,35,38
09-08-2021 08:30 PM,126,26,36,39
09-09-2021 07:00 PM,128,26,37,40
09-10-2021 07:00 PM,132,26,37,41
09-11-2021 09:30 PM,133,27,37,41
09-13-2021 08:30 PM,136,29,39,42
09-14-2021 11:00 PM,139,29,41,42
09-15-2021 06:00 PM,143,32,41,44
09-16-2021 08:00 PM,148,34,43,46
09-17-2021 07:00 PM,150,35,47,47
09-20-2021 08:00 PM,165,37,48,52
